Calories,Activity,Id,ActivityDay,,,
1985,04-12-2016,1503960366,04-12-2016,12,607,0
1797,13-04-2016,1503960366,4/13/2016,4,30,
1776,14-04-2016,1503960366,4/14/2016,4,,
1745,15-04-2016,1503960366,4/15/2016,4,,
1863,16-04-2016,1503960366,4/16/2016,4,,
1728,17-04-2016,1503960366,4/17/2016,4,,
1921,18-04-2016,1503960366,4/18/2016,4,,
2035,19-04-2016,1503960366,4/19/2016,4,,
1786,20-04-2016,1503960366,4/20/2016,4,,
1775,21-04-2016,1503960366,4/21/2016,4,,
1827,22-04-2016,1503960366,4/22/2016,4,,
1949,23-04-2016,1503960366,4/23/2016,4,,
1788,24-04-2016,1503960366,4/24/2016,4,,
2013,25-04-2016,1503960366,4/25/2016,4,,
1970,26-04-2016,1503960366,4/26/2016,4,,
2159,27-04-2016,1503960366,4/27/2016,4,,
1898,28-04-2016,1503960366,4/28/2016,4,,
1837,29-04-2016,1503960366,4/29/2016,4,,
1947,30-04-2016,1503960366,4/30/2016,4,,
1820,05-01-2016,1503960366,05-01-2016,1,,
2004,05-02-2016,1503960366,05-02-2016,2,,
1990,05-03-2016,1503960366,05-03-2016,3,,
1819,05-04-2016,1503960366,05-04-2016,4,,
1959,05-05-2016,1503960366,05-05-2016,5,,
1896,05-06-2016,1503960366,05-06-2016,6,,
1821,05-07-2016,1503960366,05-07-2016,7,,
1740,05-08-2016,1503960366,05-08-2016,8,,
1819,05-09-2016,1503960366,05-09-2016,9,,
1859,05-10-2016,1503960366,05-10-2016,10,,
1783,05-11-2016,1503960366,05-11-2016,11,,
0,05-12-2016,1503960366,05-12-2016,12,,
1432,04-12-2016,1624580081,04-12-2016,12,,
1411,13-04-2016,1624580081,4/13/2016,4,,
1572,14-04-2016,1624580081,4/14/2016,4,,
1344,15-04-2016,1624580081,4/15/2016,4,,
1463,16-04-2016,1624580081,4/16/2016,4,,
1554,17-04-2016,1624580081,4/17/2016,4,,
1604,18-04-2016,1624580081,4/18/2016,4,,
1435,19-04-2016,1624580081,4/19/2016,4,,
1446,20-04-2016,1624580081,4/20/2016,4,,
1467,21-04-2016,1624580081,4/21/2016,4,,
1470,22-04-2016,1624580081,4/22/2016,4,,
1562,23-04-2016,1624580081,4/23/2016,4,,
1617,24-04-2016,1624580081,4/24/2016,4,,
1492,25-04-2016,1624580081,4/25/2016,4,,
1402,26-04-2016,1624580081,4/26/2016,4,,
1670,27-04-2016,1624580081,4/27/2016,4,,
1401,28-04-2016,1624580081,4/28/2016,4,,
1404,29-04-2016,1624580081,4/29/2016,4,,
1655,30-04-2016,1624580081,4/30/2016,4,,
2690,05-01-2016,1624580081,05-01-2016,1,,
1497,05-02-2016,1624580081,05-02-2016,2,,
1334,05-03-2016,1624580081,05-03-2016,3,,
1368,05-04-2016,1624580081,05-04-2016,4,,
1370,05-05-2016,1624580081,05-05-2016,5,,
1341,05-06-2016,1624580081,05-06-2016,6,,
1474,05-07-2016,1624580081,05-07-2016,7,,
1427,05-08-2016,1624580081,05-08-2016,8,,
1328,05-09-2016,1624580081,05-09-2016,9,,
1393,05-10-2016,1624580081,05-10-2016,10,,
1359,05-11-2016,1624580081,05-11-2016,11,,
1002,05-12-2016,1624580081,05-12-2016,12,,
3199,04-12-2016,1644430081,04-12-2016,12,,
2902,13-04-2016,1644430081,4/13/2016,4,,
3226,14-04-2016,1644430081,4/14/2016,4,,
2750,15-04-2016,1644430081,4/15/2016,4,,
3493,16-04-2016,1644430081,4/16/2016,4,,
3011,17-04-2016,1644430081,4/17/2016,4,,
2806,18-04-2016,1644430081,4/18/2016,4,,
3300,19-04-2016,1644430081,4/19/2016,4,,
2430,20-04-2016,1644430081,4/20/2016,4,,
2140,21-04-2016,1644430081,4/21/2016,4,,
2344,22-04-2016,1644430081,4/22/2016,4,,
2677,23-04-2016,1644430081,4/23/2016,4,,
2413,24-04-2016,1644430081,4/24/2016,4,,
2497,25-04-2016,1644430081,4/25/2016,4,,
3123,26-04-2016,1644430081,4/26/2016,4,,
2489,27-04-2016,1644430081,4/27/2016,4,,
3108,28-04-2016,1644430081,4/28/2016,4,,
2498,29-04-2016,1644430081,4/29/2016,4,,
3846,30-04-2016,1644430081,4/30/2016,4,,
2696,05-01-2016,1644430081,05-01-2016,1,,
2580,05-02-2016,1644430081,05-02-2016,2,,
3324,05-03-2016,1644430081,05-03-2016,3,,
2222,05-04-2016,1644430081,05-04-2016,4,,
2463,05-05-2016,1644430081,05-05-2016,5,,
3328,05-06-2016,1644430081,05-06-2016,6,,
3404,05-07-2016,1644430081,05-07-2016,7,,
2987,05-08-2016,1644430081,05-08-2016,8,,
3008,05-09-2016,1644430081,05-09-2016,9,,
2799,05-10-2016,1644430081,05-10-2016,10,,
1276,05-11-2016,1644430081,05-11-2016,11,,
2030,04-12-2016,1844505072,04-12-2016,12,,
1860,13-04-2016,1844505072,4/13/2016,4,,
2130,14-04-2016,1844505072,4/14/2016,4,,
1725,15-04-2016,1844505072,4/15/2016,4,,
1657,16-04-2016,1844505072,4/16/2016,4,,
1793,17-04-2016,1844505072,4/17/2016,4,,
1814,18-04-2016,1844505072,4/18/2016,4,,
1366,19-04-2016,1844505072,4/19/2016,4,,
1349,20-04-2016,1844505072,4/20/2016,4,,
2062,21-04-2016,1844505072,4/21/2016,4,,
1827,22-04-2016,1844505072,4/22/2016,4,,
1645,23-04-2016,1844505072,4/23/2016,4,,
1347,24-04-2016,1844505072,4/24/2016,4,,
1347,25-04-2016,1844505072,4/25/2016,4,,
1347,26-04-2016,1844505072,4/26/2016,4,,
1348,27-04-2016,1844505072,4/27/2016,4,,
1992,28-04-2016,1844505072,4/28/2016,4,,
1856,29-04-2016,1844505072,4/29/2016,4,,
1763,30-04-2016,1844505072,4/30/2016,4,,
1541,05-01-2016,1844505072,05-01-2016,1,,
1348,05-02-2016,1844505072,05-02-2016,2,,
1742,05-03-2016,1844505072,05-03-2016,3,,
1549,05-04-2016,1844505072,05-04-2016,4,,
1589,05-05-2016,1844505072,05-05-2016,5,,
1351,05-06-2016,1844505072,05-06-2016,6,,
1347,05-07-2016,1844505072,05-07-2016,7,,
1347,05-08-2016,1844505072,05-08-2016,8,,
1347,05-09-2016,1844505072,05-09-2016,9,,
1347,05-10-2016,1844505072,05-10-2016,10,,
1347,05-11-2016,1844505072,05-11-2016,11,,
665,05-12-2016,1844505072,05-12-2016,12,,
2220,04-12-2016,1927972279,04-12-2016,12,,
2151,13-04-2016,1927972279,4/13/2016,4,,
2383,14-04-2016,1927972279,4/14/2016,4,,
2221,15-04-2016,1927972279,4/15/2016,4,,
2064,16-04-2016,1927972279,4/16/2016,4,,
2063,17-04-2016,1927972279,4/17/2016,4,,
2111,18-04-2016,1927972279,4/18/2016,4,,
2063,19-04-2016,1927972279,4/19/2016,4,,
2063,20-04-2016,1927972279,4/20/2016,4,,
2064,21-04-2016,1927972279,4/21/2016,4,,
2093,22-04-2016,1927972279,4/22/2016,4,,
2499,23-04-2016,1927972279,4/23/2016,4,,
2324,24-04-2016,1927972279,4/24/2016,4,,
2100,25-04-2016,1927972279,4/25/2016,4,,
2638,26-04-2016,1927972279,4/26/2016,4,,
2063,27-04-2016,1927972279,4/27/2016,4,,
2351,28-04-2016,1927972279,4/28/2016,4,,
2063,29-04-2016,1927972279,4/29/2016,4,,
2064,30-04-2016,1927972279,4/30/2016,4,,
2411,05-01-2016,1927972279,05-01-2016,1,,
2505,05-02-2016,1927972279,05-02-2016,2,,
2195,05-03-2016,1927972279,05-03-2016,3,,
2338,05-04-2016,1927972279,05-04-2016,4,,
2063,05-05-2016,1927972279,05-05-2016,5,,
2383,05-06-2016,1927972279,05-06-2016,6,,
2229,05-07-2016,1927972279,05-07-2016,7,,
2063,05-08-2016,1927972279,05-08-2016,8,,
2063,05-09-2016,1927972279,05-09-2016,9,,
2063,05-10-2016,1927972279,05-10-2016,10,,
2063,05-11-2016,1927972279,05-11-2016,11,,
1383,05-12-2016,1927972279,05-12-2016,12,,
2390,04-12-2016,2022484408,04-12-2016,12,,
2601,13-04-2016,2022484408,4/13/2016,4,,
2312,14-04-2016,2022484408,4/14/2016,4,,
2525,15-04-2016,2022484408,4/15/2016,4,,
2177,16-04-2016,2022484408,4/16/2016,4,,
2782,17-04-2016,2022484408,4/17/2016,4,,
2770,18-04-2016,2022484408,4/18/2016,4,,
2489,19-04-2016,2022484408,4/19/2016,4,,
2897,20-04-2016,2022484408,4/20/2016,4,,
3158,21-04-2016,2022484408,4/21/2016,4,,
2638,22-04-2016,2022484408,4/22/2016,4,,
2069,23-04-2016,2022484408,4/23/2016,4,,
2529,24-04-2016,2022484408,4/24/2016,4,,
2470,25-04-2016,2022484408,4/25/2016,4,,
2793,26-04-2016,2022484408,4/26/2016,4,,
2463,27-04-2016,2022484408,4/27/2016,4,,
2296,28-04-2016,2022484408,4/28/2016,4,,
2611,29-04-2016,2022484408,4/29/2016,4,,
2732,30-04-2016,2022484408,4/30/2016,4,,
2380,05-01-2016,2022484408,05-01-2016,1,,
2473,05-02-2016,2022484408,05-02-2016,2,,
2752,05-03-2016,2022484408,05-03-2016,3,,
2649,05-04-2016,2022484408,05-04-2016,4,,
2609,05-05-2016,2022484408,05-05-2016,5,,
2498,05-06-2016,2022484408,05-06-2016,6,,
1995,05-07-2016,2022484408,05-07-2016,7,,
1848,05-08-2016,2022484408,05-08-2016,8,,
2709,05-09-2016,2022484408,05-09-2016,9,,
2797,05-10-2016,2022484408,05-10-2016,10,,
2544,05-11-2016,2022484408,05-11-2016,11,,
1853,05-12-2016,2022484408,05-12-2016,12,,
1459,04-12-2016,2026352035,04-12-2016,12,,
1521,13-04-2016,2026352035,4/13/2016,4,,
1431,14-04-2016,2026352035,4/14/2016,4,,
1444,15-04-2016,2026352035,4/15/2016,4,,
